levelId,duration,wavePeriod,basicEnemiesInAWave,baseEnergy,baseFirePower,attackPatternsIntroductions,attackPatternSymmetryOdds,oddsOf2SimultaneousWaves,oddsOf3SimultaneousWaves,oddsOf4SimultaneousWaves,oddsOf5SimultaneousWaves,extractableCount,crateCount,lighthouseSatelliteCount,helicopterAttacksPackSize,helicopterEnergyMultiplier,helicopterFirePowerMultiplier,enemy1AttacksPackSize,enemy1EnergyMultiplier,enemy1FirePowerMultiplier,enemy2AttacksPackSize,enemy2EnergyMultiplier,enemy2FirePowerMultiplier,enemy3AttacksPackSize,enemy3EnergyMultiplier,enemy3FirePowerMultiplier,enemy4AttacksPackSize,enemy4EnergyMultiplier,enemy4FirePowerMultiplier,levelTimeAtStart,levelTimeAtTheEnd,universalTimeAtStart,universalTimeAtTheEnd
1,30,5,[3-5],[100-150],[100-150],\,100,,,,,1,,0,3,30,5,,,,,,,,,,,,,0,30,0,30
1,30,5,[4-6],,,,100,,,,,1,,,3,,,,,,,,,,,,,,,30,60,30,60
1,30,5,[4-6],,,,100,,,,,1,2,1,,,,,,,,,,,,,,,,60,90,60,90
1,30,5,[5-6],,,U,100,,,,,1,,,3,,,,,,,,,,,,,,,90,120,90,120
1,30,5,[5-6],,,,80,,,,,1,,,,,,,,,,,,,,,,,,120,150,120,150
1,30,5,[5-6],,,C,80,20,,,,2,7,,3,,,,,,,,,,,,,,,150,180,150,180
1,30,5,[5-7],,,d,80,40,,,,3,9,1,,,,,,,,,,,,,,,,180,210,180,210
2,30,5,[5-7],,[150-200],,,,,,,1,,,,,,,,,,,,,,,,,,0,30,210,240
2,30,5,[5-7],,,,,,,,,1,,,3,,,,,,,,,,,,,,,30,60,240,270
2,60,5,[5-7],,,z,,,,,,3,2,,3,,,,,,,,,,,,,,,60,120,270,330
2,60,5,[5-7],[150-300],,,,,,,,3,,1,,,,,,,,,,,,,,,,120,180,330,390
2,60,5,[6-7],,,,,40,10,,,4,1,,3,,,,,,,,,,,,,,,180,240,390,450
2,60,5,[6-7],,,clove,,,,,,,,,,,,,,,,,,,,,,,,240,300,450,510
3,60,5,[6-7],,,,,,,,,3,1,,,,,,,,,,,,,,,,,0,60,510,570
3,60,5,[6-7],,,,,,,,,2,,,4,,,,,,,,,,,,,,,60,120,570,630
3,60,5,[6-7],,,v,,,,,,1,,1,3,,,,,,,,,,,,,,,120,180,630,690
3,60,5,[6-7],,,,,,,,,1,3,,4,,,,,,,,,,,,,,,180,240,690,750
3,60,5,[6-7],,,,,,,,,3,,,,,,,,,,,,,,,,,,240,300,750,810
4,60,5,[6-7],,,,,,,,,4,,,,,,,,,,,,,,,,,,0,60,810,870
4,60,5,[6-7],,,,,,,,,3,1,,3,,,,,,,,,,,,,,,60,120,870,930
4,60,5,[6-7],,[200-250],zz,,,,,,3,,,,,,,,,,,,,,,,,,120,180,930,990
4,60,5,[6-7],,,,,,,,,4,,1,,,,,,,,,,,,,,,,180,240,990,1050
4,60,5,[6-7],[200-300],,j,,,,,,4,,,3,,,,,,,,,,,,,,,240,300,1050,1110
4,60,5,[6-7],,,,,,,,,2,3,,,,,,,,,,,,,,,,,300,360,1110,1170
4,60,5,[6-7],,,,,,,,,3,,,,,,,,,,,,,,,,,,360,420,1170,1230
5,60,5,[6-7],,,,,,,,,3,,,3,,,,,,,,,,,,,,,0,60,1230,1290
5,60,5,[6-7],,,,75,,,,,2,2,,,,,,,,,,,,,,,,,60,120,1290,1350
5,60,5,[6-7],,,o,,,,,,1,,1,,,,,,,,,,,,,,,,120,180,1350,1410
5,60,5,[6-7],,,,,,,,,2,,,3,,,,,,,,,,,,,,,180,240,1410,1470
6,60,5,[6-7],[300-350],,,,,,,,3,,,,,,,,,,,,,,,,,,0,60,1470,1530
6,60,5,[7-7],,[250-300],w,,,,,,3,3,,3,,,,,,,,,,,,,,,60,120,1530,1590
6,60,5,[7-7],,,,,,,,,3,,1,,,,,,,,,,,,,,,,120,180,1590,1650
6,60,5,[7-7],,,,,,,,,2,,,3,,,,,,,,,,,,,,,180,240,1650,1710
6,60,5,[7-7],,,8,,,,,,2,1,,,,,,,,,,,,,,,,,240,300,1710,1770
