//Time,Type,Style,Delay,Count,Base Energy,Base Score,BaseFunds,GenerationType,Path Name,Path Offset X,Path Offset Y,Path Offset Z,Path Variant,Path Ease,PathTime,PathDelay
1,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,Horizontal,Linear,5,0
5,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,None,Linear,5,0
10,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,RVertical,Linear,5,0
15,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,Rhorizontal,Linear,5,0
20,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,None,Linear,5,0
25,Enemy,Boat,0,1,300,30,2,None,T2B,4,0,0,None,Linear,5,0
26,Enemy,Boat,0,1,300,30,2,None,T2B,-4,0,0,None,Linear,5,0
26,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,5,0
30,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,None,Linear,5,0
35,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,Horizontal,Linear,5,0
40,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,None,Linear,5,0
40,Background,Crate,0.5,1,50,5,1,None,T2B,-2,0,0,None,Linear,20,0
45,Enemy,Hellicopter,0.5,3,500,40,3,None,TL2BR,0,0,0,None,Linear,10,0
49,Background,Lighthouse,0.5,1,200,15,1,None,T2B,2,0,0,None,Linear,20,0
49,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,10,0
50,Enemy,Boat,0,1,300,30,2,None,T2B,-2,0,0,None,Linear,10,0
55,Enemy,UnityShip,0.5,4,100,10,1,None,\,0,0,0,Horizontal,Linear,10,0
60,Enemy,UnityShip,0.5,4,100,10,1,None,\,0,0,0,None,Linear,10,0
60,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,10,0
65,Enemy,Boat,0,1,300,30,2,None,T2B,4,0,0,None,Linear,10,0
65,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,RCenter,Linear,10,0
70,Enemy,Boat,0,1,300,30,2,None,T2B,-4,0,0,None,Linear,10,0
77,Enemy,UnityShip,0.5,5,100,10,1,None,U,0,0,0,None,Linear,10,0
84,Enemy,UnityShip,0.5,5,100,10,1,None,U,0,0,0,Reverse,Linear,10,0
90,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,RVertical,Linear,10,0
93,Enemy,Hellicopter,0.5,3,500,40,3,None,\,0,0,0,RCenter,Linear,10,0
95,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,10,0
102,Background,Lighthouse,0.5,1,200,15,1,None,T2B,-2,0,0,None,Linear,20,0
105,Enemy,UnityShip,0.5,4,100,10,1,None,\,0,0,0,None,Linear,10,0
110,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,Horizontal,Linear,10,0
115,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,RVertical,Linear,10,0
120,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,None,Linear,10,0
125,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,Horizontal,Linear,10,0
130,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,RVertical,Linear,10,0
135,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,Horizontal,Linear,10,0
140,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,None,Linear,10,0
145,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,Horizontal,Linear,10,0
152,Enemy,UnityShip,0.5,5,100,10,1,None,\,0,0,0,RVertical,Linear,10,0
158,Enemy,Boss_Plane,0.5,1,1000,100,5,None,SS,0,0,0,None,Linear,30,0
165,Enemy,UnityShip,0.5,6,100,10,1,None,C,0,0,0,None,Linear,10,0
171,Enemy,UnityShip,0.5,6,100,10,1,None,C,0,0,0,Horizontal,Linear,10,0
174,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,10,0
176,Enemy,UnityShip,0.5,5,100,10,1,None,d,0,0,0,None,Linear,10,0
176,Enemy,UnityShip,0.5,5,100,10,1,None,d,0,0,0,Horizontal,Linear,10,0
180,Background,Crate,0.5,1,50,5,1,None,T2B,-5,0,0,None,Linear,20,0
181,Background,Crate,0.5,1,50,5,1,None,T2B,3,0,0,None,Linear,20,0
182,Background,Lighthouse,0.5,1,200,15,1,None,T2B,2,0,0,None,Linear,20,0
183,Enemy,Hellicopter,0.5,3,500,40,3,None,TR2BL,0,0,0,None,Linear,10,0
190,Enemy,Boss_Boat,0.5,1,500,50,3,None,ZZ,0,0,0,None,Linear,200,0
190,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,10,0
192,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,10,0
192,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,10,0
193,Extractable,MiningPost,0.5,1,100,10,1,None,T2B,0,0,0,None,Linear,10,0
190,Background,Crate,0.5,1,50,5,1,None,T2B,-5,0,0,None,Linear,20,0
192,Background,Crate,0.5,1,50,5,1,None,T2B,-2,0,0,None,Linear,20,0
193,Background,Crate,0.5,1,50,5,1,None,T2B,3,0,0,None,Linear,20,0
