Level ID,Length of Time,Level Time At Start ,Level Time At The End,Universal Time At Start,Universal Time At the End,Wave Period,Basic Enemies In a Wave (MIN),Basic Enemies In a Wave (MAX),Attack Patterns Introductions,Attack Pattern Symmetry Odds,Base Energy (MIN),Base Energy (MAX),Base Fire Power (MIN),Base Fire Power (MAX),Odds of 2 Simultaneous Waves,Odds of 3 Simultaneous Waves,Odds of 4 Simultaneous Waves,Odds of 5 Simultaneous Waves,Extractable Count,Crate Count,Lighthouse (Satellite) Count,Hellicopter Attacks (# in PACK),Hellicopter Energy Multiplier,Hellicopter Fire Power Multiplier,ENEMY-1 Attacks  (# in PACK),ENEMY-1 Energy Multiplier,ENEMY-1 FirePower Multiplier,ENEMY-2 Attacks  (# in PACK),ENEMY-2 Energy Multiplier,ENEMY-2 FirePower Multiplier,ENEMY-3 Attacks  (# in PACK),ENEMY-3 Energy Multiplier,ENEMY-3 FirePower Multiplier,ENEMY-4 Attacks  (# in PACK),ENEMY-4 Energy Multiplier,ENEMY-4 FirePower Multiplier
1,30,0,30,0,30,5,3,5,\,100,100,150,100,150,0,0,0,0,1,0,0,3,30,5,0,,,,,,,,,,,
1,30,30,60,30,60,5,4,6,,100,,,,,0,0,0,0,1,,,3,,,,,,,,,,,,,,
1,30,60,90,60,90,5,4,6,,100,,,,,0,0,0,0,1,2,1,,,,,,,,,,,,,,,
1,30,90,120,90,120,5,5,6,U,100,,,,,0,0,0,0,1,,,3,,,,,,,,,,,,,,
1,30,120,150,120,150,5,5,6,,80,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,
1,30,150,180,150,180,5,5,6,C,80,,,,,20,0,0,0,2,7,,3,,,,,,,,,,,,,,
1,30,180,210,180,210,5,5,7,d,80,,,,,40,0,0,0,3,9,1,,,,,,,,,,,,,,,
2,30,0,30,210,240,5,5,7,,,,,150,200,0,0,0,0,1,,,,,,,,,,,,,,,,,
2,30,30,60,240,270,5,5,7,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,
2,60,60,120,270,330,5,5,7,z,,,,,,,,,,3,2,,3,,,,,,,,,,,,,,
2,60,120,180,330,390,5,5,7,,,150,300,,,,,,,3,,1,,,,,,,,,,,,,,,
2,60,180,240,390,450,5,6,7,,,,,,,40,10,,,4,1,,3,,,,,,,,,,,,,,
2,60,240,300,450,510,5,6,7,clove,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,60,0,60,510,570,5,6,7,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
3,60,60,120,570,630,5,6,7,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,
3,60,120,180,630,690,5,6,7,v,,,,,,,,,,1,,1,3,,,,,,,,,,,,,,
3,60,180,240,690,750,5,6,7,,,,,,,,,,,1,3,,4,,,,,,,,,,,,,,
3,60,240,300,750,810,5,6,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
4,60,0,60,810,870,5,6,7,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
4,60,60,120,870,930,5,6,7,,,,,,,,,,,3,1,,3,,,,,,,,,,,,,,
4,60,120,180,930,990,5,6,7,zz,,,,200,250,,,,,3,,,,,,,,,,,,,,,,,
4,60,180,240,990,1050,5,6,7,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,
4,60,240,300,1050,1110,5,6,7,j,,200,300,,,,,,,4,,,3,,,,,,,,,,,,,,
4,60,300,360,1110,1170,5,6,7,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,
4,60,360,420,1170,1230,5,6,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
5,60,0,60,1230,1290,5,6,7,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,
5,60,60,120,1290,1350,5,6,7,,75,,,,,,,,,2,2,,,,,,,,,,,,,,,,
5,60,120,180,1350,1410,5,6,7,o,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
5,60,180,240,1410,1470,5,6,7,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,
6,60,0,60,1470,1530,5,6,7,,,300,350,,,,,,,3,,,,,,,,,,,,,,,,,
6,60,60,120,1530,1590,5,7,7,w,,,,250,300,,,,,3,3,,3,,,,,,,,,,,,,,
6,60,120,180,1590,1650,5,7,7,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,
6,60,180,240,1650,1710,5,7,7,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,
6,60,240,300,1710,1770,5,7,7,8,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
6,60,300,360,1770,1830,5,7,7,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
6,60,360,420,1830,1890,5,7,7,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,
6,60,420,480,1890,1950,5,7,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
7,60,0,60,1950,2010,5,7,7,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,
7,60,60,120,2010,2070,5,7,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
7,60,120,180,2070,2130,5,7,7,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,
7,60,180,240,2130,2190,5,7,7,88,,,,,,,,,,3,,,,,,,,,,,,,,,,,
7,60,240,300,2190,2250,5,7,7,,,,,,,,,,,3,,1,4,,,,,,,,,,,,,,
7,60,300,360,2250,2310,5,7,7,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
7,60,360,420,2310,2370,5,7,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
7,60,420,480,2370,2430,5,7,7,SS,,,,,,,,,,1,,,3,,,,,,,,,,,,,,
7,90,480,570,2430,2520,5,7,7,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
7,90,570,660,2520,2610,5,7,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
8,90,0,90,2610,2700,5,7,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
8,90,90,180,2700,2790,5,7,7,,,,,,,,,,,3,,1,3,,,,,,,,,,,,,,
8,90,180,270,2790,2880,5,7,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
8,90,270,360,2880,2970,5,7,7,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,
8,120,360,480,2970,3090,5,7,7,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,
8,120,480,600,3090,3210,5,7,7,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,
8,120,600,720,3210,3330,5,7,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
8,120,720,840,3330,3450,5,7,7,,70,,,,,,,,,1,,,3,,,,,,,,,,,,,,
9,120,0,120,3450,3570,5,7,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
9,120,120,240,3570,3690,5,7,7,,,,,300,350,,,,,4,2,1,3,,,,,,,,,,,,,,
9,120,240,360,3690,3810,5,7,7,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
9,120,360,480,3810,3930,5,7,7,,,400,450,,,,,,,3,,,,,,,,,,,,,,,,,
9,120,480,600,3930,4050,5,7,7,,,,,,,,,,,2,,1,3,,,,,,,,,,,,,,
9,120,600,720,4050,4170,5,7,7,,60,,,,,,,,,1,2,,,,,,,,,,,,,,,,
